Date,Epicentral Area,Magnitude,Latitude,Longitude
1984-04-29,Umbria settentrionale,5.6,43.21,12.51
1984-05-07,Appennino abruzzese,5.8,41.667,14.057
1984-05-11,Appennino abruzzese,5.4,41.715,14.076
1990-12-13,Sicilia sud-orientale,5.4,37.262,14.984
1997-09-26,Serravalle di Chienti (MC),5.6,43.018,12.913
1997-09-26,Serravalle di Chienti (MC),5.8,43.024,12.926
1997-10-06,Monte Cavallo (MC),5.4,43.01,12.918
1997-10-14,Sellano (PG),5.5,42.907,12.969
1998-09-09,Rotonda (PZ),5.0,39.979,16.026
2001-05-17,"Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)",5.1,38.851,15.735
2002-09-06,Costa Siciliana centro-settentrionale (Palermo),5.6,38.381,13.701
2002-10-31,Bonefro (CB),5.4,41.696,14.928
2002-11-01,Provvidenti (CB),5.3,41.719,14.841
2003-09-14,Loiano (BO),5.2,44.255,11.38
2004-05-05,Isole Eolie (Messina),5.3,38.52,14.901
2007-07-04,Isole Eolie (Messina),5.2,38.831,15.265
2009-04-06,L'Aquila (AQ),6.1,42.342,13.38
2009-04-06,Pizzoli (AQ),5.0,42.463,13.385
2009-04-07,Fossa (AQ),5.4,42.303,13.486
2009-04-09,Capitignano (AQ),5.2,42.489,13.351
2009-04-09,(AQ),5.0,42.504,13.35
2012-05-20,Finale Emilia (MO),5.8,44.8955,11.2635
2012-05-20,Finale Emilia (MO),5.0,44.8737,11.2703
2012-05-20,San Felice sul Panaro (MO),5.0,44.8597,11.152
2012-05-29,Medolla (MO),5.6,44.8417,11.0657
2012-05-29,Novi di Modena (MO),5.0,44.8647,10.9475
2012-05-29,San Possidonio (MO),5.3,44.8652,10.9795
2012-05-29,Novi di Modena (MO),5.0,44.8558,10.941
2012-05-29,San Possidonio (MO),5.1,44.866,10.9763
2012-10-25,Mormanno (CS),5.2,39.8747,16.0158
2013-06-21,Carrara (MS),5.1,44.1308,10.1357
2013-12-29,San Gregorio Matese (CE),5.0,41.3952,14.4342
2016-08-24,Accumoli (RI),6.0,42.6983,13.2335
2016-08-24,Norcia (PG),5.4,42.7922,13.1507
2016-10-26,Castelsantangelo sul Nera (MC),5.4,42.8747,13.1243
2016-10-26,Visso (MC),5.9,42.9048,13.0902
2016-10-30,Norcia (PG),6.5,42.8303,13.1092
2017-01-18,Capitignano (AQ),5.1,42.545,13.2768
2017-01-18,Capitignano (AQ),5.5,42.531,13.2838
2017-01-18,Capitignano (AQ),5.4,42.5033,13.277
2017-01-18,Barete (AQ),5.0,42.4733,13.2747
2018-08-16,Montecilfone (CB),5.1,41.8742,14.8648
2022-10-31,"Golfo di Policastro (Salerno, Potenza)",5.4,39.8747,15.6865
2022-11-09,Costa Marchigiana Pesarese (Pesaro-Urbino),5.5,43.9833,13.3237
2022-11-09,Costa Marchigiana Anconetana (Ancona),5.2,43.9133,13.3447
2023-05-01,Costa Calabra nord-occidentale (Cosenza),5.2,39.3562,15.6747
2024-08-01,Pietrapaola (CS),5.0,39.4667,16.7777
